Integration Time (ms),330
Wavelength,Watts/Count,Count,Watts
336.6691,0,0,0
337.124537657627,0,0,0
337.580014467521,0,0,0
338.0355304252,0,0,0
338.491085526184,0,0,0
338.946679765991,0,0,0
339.402313140139,0,0,0
339.857985644148,0,0,0
340.313697273536,0,0,0
340.769448023822,0,0,0
341.225237890524,0,0,0
341.681066869162,0,0,0
342.136934955255,0,0,0
342.59284214432,0,0,0
343.048788431877,0,0,0
343.504773813444,0,0,0
343.960798284541,0,0,0
344.416861840685,0,0,0
344.872964477396,0,0,0
345.329106190193,0,0,0
345.785286974593,0,0,0
346.241506826117,0,0,0
346.697765740282,0,0,0
347.154063712608,0,0,0
347.610400738612,0,0,0
348.066776813815,0,0,0
348.523191933734,0,0,0
348.979646093889,0,0,0
349.436139289798,0,0,0
349.892671516979,0,0,0
350.349242770952,0,0,0
350.805853047236,0,0,0
351.262502341348,0,0,0
351.719190648809,0,0,0
352.175917965136,0,0,0
352.632684285848,0,0,0
353.089489606465,0,0,0
353.546333922504,0,0,0
354.003217229485,0,0,0
354.460139522926,0,0,0
354.917100798346,0,0,0
355.374101051264,0,0,0
355.831140277199,0,0,0
356.288218471669,0,0,0
356.745335630192,0,0,0
357.202491748289,0,0,0
357.659686821477,0,0,0
358.116920845276,0,0,0
358.574193815203,0,0,0
359.031505726778,0,0,0
359.48885657552,0,0,0
359.946246356947,0,0,0
360.403675066578,0,0,0
360.861142699932,0,0,0
361.318649252527,0,0,0
361.776194719882,0,0,0
362.233779097517,0,0,0
362.691402380949,0,0,0
363.149064565697,0,0,0
363.606765647281,0,0,0
364.064505621219,0,0,0
364.522284483029,0,0,0
364.980102228231,0,0,0
365.437958852343,0,0,0
365.895854350884,0,0,0
366.353788719372,0,0,0
366.811761953328,0,0,0
367.269774048268,0,0,0
367.727824999712,0,0,0
368.185914803179,0,0,0
368.644043454187,0,0,0
369.102210948255,0,0,0
369.560417280903,0,0,0
370.018662447647,0,0,0
370.476946444009,0,0,0
370.935269265505,0,0,0
371.393630907655,0,0,0
371.852031365978,0,0,0
372.310470635992,0,0,0
372.768948713217,0,0,0
373.22746559317,0,0,0
373.686021271371,0,0,0
374.144615743338,0,0,0
374.60324900459,0,0,0
375.061921050646,0,0,0
375.520631877025,0,0,0
375.979381479245,0,0,0
376.438169852825,0,0,0
376.896996993284,0,0,0
377.35586289614,0,0,0
377.814767556913,0,0,0
378.27371097112,0,0,0
378.732693134282,0,0,0
379.191714041916,0,0,0
379.650773689541,0,0,0
380.109872072677,0,0,0
380.569009186841,0,0,0
381.028185027553,0,0,0
381.48739959033,0,0,0
381.946652870693,0,0,0
382.40594486416,0,0,0
